epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2028.11,0.58628,0.50941,1.49714,0.82519,0.74259,0.80731,0.67177,0.66277,0.73804,1.51741,0.0004753,0.0004753,0.0004753
55,2066.94,0.57949,0.49809,1.44099,0.81044,0.71825,0.78748,0.65228,0.68167,0.76921,1.50611,0.0004654,0.0004654,0.0004654
56,2105.11,0.56965,0.49629,1.4605,0.77484,0.7565,0.7807,0.65072,0.68183,0.77715,1.50292,0.0004555,0.0004555,0.0004555
57,2142.03,0.59299,0.50814,1.46455,0.77002,0.81377,0.80866,0.68025,0.66761,0.73026,1.51865,0.0004456,0.0004456,0.0004456
58,2179.58,0.56711,0.4792,1.43212,0.78301,0.76293,0.79389,0.66564,0.66161,0.75661,1.51342,0.0004357,0.0004357,0.0004357
59,2217.07,0.57373,0.49533,1.45892,0.78068,0.78528,0.80634,0.68202,0.63527,0.71948,1.52484,0.0004258,0.0004258,0.0004258
60,2254.64,0.55486,0.48245,1.41952,0.76828,0.78224,0.80062,0.67693,0.65066,0.75416,1.51509,0.0004159,0.0004159,0.0004159
61,2292.62,0.55238,0.46131,1.45745,0.7603,0.79341,0.80482,0.67903,0.64807,0.73159,1.55768,0.000406,0.000406,0.000406
62,2332.84,0.57064,0.47506,1.44439,0.76767,0.7864,0.79577,0.67155,0.64682,0.74008,1.51875,0.0003961,0.0003961,0.0003961
63,2371.25,0.56476,0.48199,1.47703,0.73795,0.77619,0.79013,0.66058,0.64504,0.76186,1.51377,0.0003862,0.0003862,0.0003862
64,2409.67,0.54923,0.47077,1.43284,0.76012,0.76397,0.78494,0.66325,0.64784,0.73701,1.49324,0.0003763,0.0003763,0.0003763
65,2447.2,0.55471,0.46471,1.45662,0.80688,0.77651,0.81831,0.69219,0.64833,0.73526,1.51369,0.0003664,0.0003664,0.0003664
66,2484.65,0.5507,0.45272,1.44311,0.80876,0.78036,0.81382,0.69056,0.64095,0.70283,1.53122,0.0003565,0.0003565,0.0003565
67,2521.31,0.56297,0.46113,1.43771,0.8105,0.74108,0.80767,0.68229,0.65669,0.72771,1.54427,0.0003466,0.0003466,0.0003466
68,2560.04,0.56084,0.47206,1.43688,0.77321,0.76893,0.80344,0.6734,0.6684,0.75367,1.53309,0.0003367,0.0003367,0.0003367
69,2598.09,0.55467,0.45148,1.43891,0.77978,0.77756,0.80419,0.66723,0.64116,0.72579,1.52747,0.0003268,0.0003268,0.0003268
70,2635.87,0.5462,0.4487,1.40724,0.78906,0.7866,0.80984,0.68039,0.65318,0.74011,1.54122,0.0003169,0.0003169,0.0003169
71,2673.91,0.53723,0.44179,1.41892,0.77951,0.77798,0.80048,0.67742,0.64936,0.76586,1.54588,0.000307,0.000307,0.000307
72,2711.8,0.5398,0.45018,1.44432,0.81365,0.77595,0.81796,0.68896,0.65429,0.71645,1.55248,0.0002971,0.0002971,0.0002971
73,2749.93,0.53213,0.44088,1.42009,0.80006,0.79929,0.81935,0.68698,0.65217,0.71547,1.52568,0.0002872,0.0002872,0.0002872
